ISBN,レーベル名,レーベル名カナ,タイトル,出版社名,出版社名カナ,作者名,作者名カナ,発売日,本体価格,版型
9784040685434,MFコミックスalive,エムエフコミックスアライブ,あの娘にキスと白百合を 5,KADOKAWA,カドカワ,缶乃,カンノ,2016-09-23,550,B6
9784040694405,MFコミックスalive,エムエフコミックスアライブ,あの娘にキスと白百合を 7,KADOKAWA,カドカワ,缶乃,カンノ,2017-09-23,550,B6
9784040698526,MFコミックスalive,エムエフコミックスアライブ,あの娘にキスと白百合を 8,KADOKAWA,カドカワ,缶乃,カンノ,2018-03-23,550,B6
9784040651293,MFコミックスalive,エムエフコミックスアライブ,あの娘にキスと白百合を 9,KADOKAWA,カドカワ,缶乃,カンノ,2018-09-21,550,B6
9784040685823,MFコミックスフラッパーシリーズ,エムエフコミックスフラッパーシリーズ,北陸とらいあんぐる 1,KADOKAWA,カドカワ,ちさこ,チサコ,2016-11-21,600,B6
9784040692999,MFコミックスフラッパーシリーズ,エムエフコミックスフラッパーシリーズ,北陸とらいあんぐる 2,KADOKAWA,カドカワ,ちさこ,チサコ,2017-07-22,600,B6
9784040697741,MFコミックスフラッパーシリーズ,エムエフコミックスフラッパーシリーズ,北陸とらいあんぐる 3,KADOKAWA,カドカワ,ちさこ,チサコ,2018-03-23,600,B6
9784040651958,MFコミックスフラッパーシリーズ,エムエフコミックスフラッパーシリーズ,北陸とらいあんぐる 4,KADOKAWA,カドカワ,ちさこ,チサコ,2018-11-21,600,B6
9784040691183,MFC,エムエフシー,星川銀座四丁目 下,KADOKAWA,カドカワ,玄鉄絢,クロガネケン,2017-03-09,880,B6
9784040691176,MFC,エムエフシー,星川銀座四丁目 上,KADOKAWA,カドカワ,玄鉄絢,クロガネケン,2017-03-09,880,B6
9784040698007,MFC,エムエフシー,同棲生活 わたしを好きってことでしょ,KADOKAWA,カドカワ,さつま揚げ,サツマアゲ,2018-02-22,920,B6
9784040653457,MFC,エムエフシー,今どきの女子高生が何を考えてるかわからなくてつらい,KADOKAWA,カドカワ,ちさこ,チサコ,2019-01-23,600,B6
9784040654195,MFC,エムエフシー,須波優子と百合な人びと,KADOKAWA,カドカワ,綿桐さや,ワタギリサヤ,2019-01-23,600,B6
9784040697857,MFC キューン,エムエフシーキューン,百合ドリル,KADOKAWA,カドカワ,None,None,2018-03-27,650,B6
9784040654164,MFC キューン,エムエフシーキューン,百合ドリル 応用編,KADOKAWA,カドカワ,None,None,2019-02-27,650,B6
9784040654157,MFC キューン,エムエフシーキューン,百合ドリル 難問編,KADOKAWA,カドカワ,None,None,2019-02-27,650,B6
9784040690261,MFC キューン,エムエフシーキューン,明るい記憶喪失 1,KADOKAWA,カドカワ,奥たまむし,オクタマムシ,2017-02-27,600,B6
9784040694290,MFC キューン,エムエフシーキューン,明るい記憶喪失 2,KADOKAWA,カドカワ,奥たまむし,オクタマムシ,2017-09-27,600,B6
9784040697826,MFC キューン,エムエフシーキューン,明るい記憶喪失 3,KADOKAWA,カドカワ,奥たまむし,オクタマムシ,2018-03-26,600,B6
9784040654805,MFC キューン,エムエフシーキューン,明るい記憶喪失 4,KADOKAWA,カドカワ,奥たまむし,オクタマムシ,2019-02-27,600,B6
9784040697000,MFC キューン,エムエフシーキューン,世界で一番おっぱいが好き! 1,KADOKAWA,カドカワ,昆布わかめ,コンブワカメ,2018-02-26,600,B6
9784040681610,MFC キューン,エムエフシーキューン,わたしの友達が世界一かわいい 1,KADOKAWA,カドカワ,三月,ミツキ,2016-03-26,600,B6
9784040691046,MFC キューン,エムエフシーキューン,今日も女の子を攻略した。 1,KADOKAWA,カドカワ,むく,ムク,2017-03-27,600,B6
9784040694306,MFC キューン,エムエフシーキューン,今日も女の子を攻略した。 2,KADOKAWA,カドカワ,むく,ムク,2017-09-27,600,B6
9784040652504,MFCジーンピクシブ,エムエフシージーンピクシブ,女流作家とユキ 1,KADOKAWA,カドカワ,なごり悠,ナゴリユウ,2018-11-26,550,B6
9784041076170,角川コミックス・エース,カドカワコミックスエース,私たちは恋を描けない 1,KADOKAWA,カドカワ,あかまる,アカマル,2018-12-04,580,B6
9784049122381,電撃コミックスNEXT,デンゲキコミックスネクスト,やがて君になる公式コミックアンソロジー,KADOKAWA,カドカワ,None,None,2018-12-25,680,B6
9784048935425,電撃コミックスNEXT,デンゲキコミックスネクスト,籠の少女は恋をする 1,KADOKAWA,カドカワ,川浪いずみ,カワナミイズミ,2018-01-26,570,B6
9784049120066,電撃コミックスNEXT,デンゲキコミックスネクスト,籠の少女は恋をする 2,KADOKAWA,カドカワ,川浪いずみ,カワナミイズミ,2018-09-27,600,B6
9784048933834,電撃コミックスNEXT,デンゲキコミックスネクスト,ストロベリー・フィールズをもう一度 1,KADOKAWA,カドカワ,木野咲カズラ,キノサキカズラ,2017-10-27,570,B6
9784049120158,電撃コミックスNEXT,デンゲキコミックスネクスト,ストロベリー・フィールズをもう一度 2,KADOKAWA,カドカワ,木野咲カズラ,キノサキカズラ,2018-08-27,580,B6
9784048691611,電撃コミックスNEXT,デンゲキコミックスネクスト,シンメトリーズ 1,KADOKAWA,カドカワ,シバユウスケ,シバユウスケ,2015-01-24,570,B6
9784048652193,電撃コミックスNEXT,デンゲキコミックスネクスト,シンメトリーズ 2,KADOKAWA,カドカワ,シバユウスケ,シバユウスケ,2015-07-24,600,B6
9784048933186,電撃コミックスNEXT,デンゲキコミックスネクスト,吸血鬼ちゃん×後輩ちゃん 1,KADOKAWA,カドカワ,嵩乃朔,タカノサク,2017-09-27,570,B6
9784048937320,電撃コミックスNEXT,デンゲキコミックスネクスト,吸血鬼ちゃん×後輩ちゃん 2,KADOKAWA,カドカワ,嵩乃朔,タカノサク,2018-03-24,570,B6
9784049120691,電撃コミックスNEXT,デンゲキコミックスネクスト,吸血鬼ちゃん×後輩ちゃん 3,KADOKAWA,カドカワ,嵩乃朔,タカノサク,2018-09-25,580,B6
9784048654326,電撃コミックスNEXT,デンゲキコミックスネクスト,やがて君になる 1,KADOKAWA,カドカワ,中谷鳰,ナカタニニオ,2015-10-24,570,B6
9784048658751,電撃コミックスNEXT,デンゲキコミックスネクスト,やがて君になる 2,KADOKAWA,カドカワ,中谷鳰,ナカタニニオ,2016-04-26,570,B6
9784048924313,電撃コミックスNEXT,デンゲキコミックスネクスト,やがて君になる 3,KADOKAWA,カドカワ,中谷鳰,ナカタニニオ,2016-11-26,570,B6
9784048929196,電撃コミックスNEXT,デンゲキコミックスネクスト,やがて君になる 4,KADOKAWA,カドカワ,中谷鳰,ナカタニニオ,2017-06-26,570,B6
